"date","year","week","country","value","data.type"
2020-03-01,2020,10,"Eastern Cape",0,"case"
2020-03-08,2020,11,"Eastern Cape",0,"case"
2020-03-15,2020,12,"Eastern Cape",0.148980763007957,"case"
2020-03-22,2020,13,"Eastern Cape",1.34082686707162,"case"
2020-03-29,2020,14,"Eastern Cape",2.23471144511936,"case"
2020-04-05,2020,15,"Eastern Cape",6.55515357235012,"case"
2020-04-12,2020,16,"Eastern Cape",29.9451333645994,"case"
2020-04-19,2020,17,"Eastern Cape",32.4778063357347,"case"
2020-04-26,2020,18,"Eastern Cape",36.3513061739416,"case"
2020-05-03,2020,19,"Eastern Cape",51.5473440007532,"case"
2020-05-10,2020,20,"Eastern Cape",109.351880047841,"case"
2020-05-17,2020,21,"Eastern Cape",112.778437597024,"case"
2020-05-24,2020,22,"Eastern Cape",177.287107979469,"case"
2020-05-31,2020,23,"Eastern Cape",278.59402682488,"case"
2020-06-07,2020,24,"Eastern Cape",539.459342851814,"case"
2020-06-14,2020,25,"Eastern Cape",815.073754416535,"case"
2020-06-21,2020,26,"Eastern Cape",1331.44107900211,"case"
2020-06-28,2020,27,"Eastern Cape",1564.74495387258,"case"
2020-07-05,2020,28,"Eastern Cape",2096.30831628497,"case"
2020-07-12,2020,29,"Eastern Cape",1898.61084377341,"case"
2020-07-19,2020,30,"Eastern Cape",1757.37708044187,"case"
2020-07-26,2020,31,"Eastern Cape",895.374385677824,"case"
2020-08-02,2020,32,"Eastern Cape",490.444671822196,"case"
2020-08-09,2020,33,"Eastern Cape",237.922278523708,"case"
2020-08-16,2020,34,"Eastern Cape",203.805683794886,"case"
2020-08-23,2020,35,"Eastern Cape",128.123456186843,"case"
2020-08-30,2020,36,"Eastern Cape",127.527533134811,"case"
2020-09-06,2020,37,"Eastern Cape",84.6210733885198,"case"
2020-09-13,2020,38,"Eastern Cape",105.925322498658,"case"
2020-09-20,2020,39,"Eastern Cape",110.543726151904,"case"
2020-09-27,2020,40,"Eastern Cape",136.615359678297,"case"
2020-10-04,2020,41,"Eastern Cape",147.937897666902,"case"
2020-10-11,2020,42,"Eastern Cape",169.093166014032,"case"
2020-10-18,2020,43,"Eastern Cape",260.269392974902,"case"
2020-10-25,2020,44,"Eastern Cape",462.883230665724,"case"
2020-11-01,2020,45,"Eastern Cape",601.137378737108,"case"
2020-11-08,2020,46,"Eastern Cape",1013.81409226915,"case"
2020-11-15,2020,47,"Eastern Cape",1290.17340764891,"case"
2020-11-22,2020,48,"Eastern Cape",1386.26599978904,"case"
2020-11-29,2020,49,"Eastern Cape",1488.01986092348,"case"
2020-12-06,2020,50,"Eastern Cape",1674.39479544643,"case"
2020-12-13,2020,51,"Eastern Cape",1564.59597310957,"case"
2020-12-20,2020,52,"Eastern Cape",1307.90211844686,"case"
2020-12-27,2020,53,"Eastern Cape",1032.28770688214,"case"
2021-01-03,2021,1,"Eastern Cape",1012.47326540208,"case"
2021-01-10,2021,2,"Eastern Cape",957.946306141166,"case"
2021-01-17,2021,3,"Eastern Cape",587.13318701436,"case"
2021-01-24,2021,4,"Eastern Cape",263.9939120501,"case"
2021-01-31,2021,5,"Eastern Cape",127.527533134811,"case"
2021-02-07,2021,6,"Eastern Cape",84.3231118625039,"case"
2021-02-14,2021,7,"Eastern Cape",53.4840939198567,"case"
2021-02-21,2021,8,"Eastern Cape",36.2023254109336,"case"
2021-02-28,2021,9,"Eastern Cape",32.1798448097188,"case"
2021-03-07,2021,10,"Eastern Cape",32.4778063357347,"case"
2021-03-14,2021,11,"Eastern Cape",82.3863619434004,"case"
2021-03-21,2021,12,"Eastern Cape",68.8291125096763,"case"
2021-03-28,2021,13,"Eastern Cape",24.432845133305,"case"
2021-04-04,2021,14,"Eastern Cape",22.3471144511936,"case"
2021-04-11,2021,15,"Eastern Cape",28.1573642085039,"case"
2021-04-18,2021,16,"Eastern Cape",20.1124030060742,"case"
2021-04-25,2021,17,"Eastern Cape",18.7715761390026,"case"
2021-05-02,2021,18,"Eastern Cape",22.9430375032254,"case"
2021-05-09,2021,19,"Eastern Cape",45.7370942434429,"case"
2021-05-16,2021,20,"Eastern Cape",71.8087277698354,"case"
2021-05-23,2021,21,"Eastern Cape",100.413034267363,"case"
2021-05-30,2021,22,"Eastern Cape",132.443898314074,"case"
2021-06-06,2021,23,"Eastern Cape",191.887222754249,"case"
2021-06-13,2021,24,"Eastern Cape",331.482197692705,"case"
2021-06-20,2021,25,"Eastern Cape",462.883230665724,"case"
2021-06-27,2021,26,"Eastern Cape",563.594226459103,"case"
2021-07-04,2021,27,"Eastern Cape",635.25397346593,"case"
2021-07-11,2021,28,"Eastern Cape",706.615758946742,"case"
2021-07-18,2021,29,"Eastern Cape",733.879238577198,"case"
2021-07-25,2021,30,"Eastern Cape",796.749120566556,"case"
2021-08-01,2021,31,"Eastern Cape",910.27246197862,"case"
2021-08-08,2021,32,"Eastern Cape",1076.38601273249,"case"
2021-08-15,2021,33,"Eastern Cape",1730.11360081141,"case"
2021-08-22,2021,34,"Eastern Cape",1780.17113718208,"case"
2021-08-29,2021,35,"Eastern Cape",1479.081015143,"case"
2021-09-05,2021,36,"Eastern Cape",1093.3698197154,"case"
2021-09-12,2021,37,"Eastern Cape",753.693680057256,"case"
2021-09-19,2021,38,"Eastern Cape",309.433044767527,"case"
2021-09-26,2021,39,"Eastern Cape",177.138127216461,"case"
2021-10-03,2021,40,"Eastern Cape",103.243668764514,"case"
2021-10-10,2021,41,"Eastern Cape",70.1699393767479,"case"
2021-10-17,2021,42,"Eastern Cape",33.8186332028063,"case"
2021-10-24,2021,43,"Eastern Cape",27.1144988674482,"case"
2021-10-31,2021,44,"Eastern Cape",19.8144414800583,"case"
2021-11-07,2021,45,"Eastern Cape",14.7490955377878,"case"
2021-11-14,2021,46,"Eastern Cape",15.1960378268117,"case"
2021-11-21,2021,47,"Eastern Cape",18.2760062285307,"case"
2021-11-28,2021,48,"Eastern Cape",150.470570638037,"case"
2021-12-05,2021,49,"Eastern Cape",583.110706413145,"case"
2021-12-12,2021,50,"Eastern Cape",1795.21819424589,"case"
2021-12-19,2021,51,"Eastern Cape",1787.9181368585,"case"
2021-12-26,2021,52,"Eastern Cape",1031.39382230409,"case"
2022-01-02,2022,1,"Eastern Cape",860.214925607946,"case"
2022-01-09,2022,2,"Eastern Cape",497.297786920562,"case"
2022-01-16,2022,3,"Eastern Cape",232.558971055421,"case"
2022-01-23,2022,4,"Eastern Cape",156.727762684371,"case"
2022-01-30,2022,5,"Eastern Cape",117.694802776286,"case"
2022-02-06,2022,6,"Eastern Cape",93.7088999320052,"case"
2022-02-13,2022,7,"Eastern Cape",95.1987075620848,"case"
2022-02-20,2022,8,"Eastern Cape",77.6189775271458,"case"
2022-02-27,2022,9,"Eastern Cape",58.9963821511511,"case"
2020-03-01,2020,10,"Free State",0,"case"
2020-03-08,2020,11,"Free State",0,"case"
2020-03-15,2020,12,"Free State",2.42427180935527,"case"
2020-03-22,2020,13,"Free State",21.1257971958102,"case"
2020-03-29,2020,14,"Free State",5.88751725129136,"case"
2020-04-05,2020,15,"Free State",3.11692089774248,"case"
2020-04-12,2020,16,"Free State",2.07794726516166,"case"
2020-04-19,2020,17,"Free State",3.8095699861297,"case"
2020-04-26,2020,18,"Free State",3.46324544193609,"case"
2020-05-03,2020,19,"Free State",4.50221907451692,"case"
2020-05-10,2020,20,"Free State",6.58016633967858,"case"
2020-05-17,2020,21,"Free State",14.8919554003252,"case"
2020-05-24,2020,22,"Free State",22.5110953725846,"case"
2020-05-31,2020,23,"Free State",30.130235344844,"case"
2020-06-07,2020,24,"Free State",37.7493753171034,"case"
2020-06-14,2020,25,"Free State",84.1568642390471,"case"
2020-06-21,2020,26,"Free State",159.30929032906,"case"
2020-06-28,2020,27,"Free State",421.130645739429,"case"
2020-07-05,2020,28,"Free State",797.585425277882,"case"
2020-07-12,2020,29,"Free State",1497.85365363736,"case"
2020-07-19,2020,30,"Free State",2253.88013361201,"case"
2020-07-26,2020,31,"Free State",2353.62160233977,"case"
2020-08-02,2020,32,"Free State",1881.92757314807,"case"
2020-08-09,2020,33,"Free State",1289.36627803281,"case"
2020-08-16,2020,34,"Free State",1093.00026147503,"case"
2020-08-23,2020,35,"Free State",878.279044074993,"case"
2020-08-30,2020,36,"Free State",806.589863426916,"case"
2020-09-06,2020,37,"Free State",733.515384602064,"case"
2020-09-13,2020,38,"Free State",752.216909988519,"case"
2020-09-20,2020,39,"Free State",727.627867350773,"case"
2020-09-27,2020,40,"Free State",765.72356721207,"case"
2020-10-04,2020,41,"Free State",853.343676893053,"case"
2020-10-11,2020,42,"Free State",880.010666795961,"case"
2020-10-18,2020,43,"Free State",766.069891756264,"case"
2020-10-25,2020,44,"Free State",559.660463416873,"case"
2020-11-01,2020,45,"Free State",318.618580658121,"case"
2020-11-08,2020,46,"Free State",183.552008422613,"case"
2020-11-15,2020,47,"Free State",124.330511365506,"case"
2020-11-22,2020,48,"Free State",87.6201096809831,"case"
2020-11-29,2020,49,"Free State",111.170178686149,"case"
2020-12-06,2020,50,"Free State",151.343825812607,"case"
2020-12-13,2020,51,"Free State",204.677805618423,"case"
2020-12-20,2020,52,"Free State",468.577108293953,"case"
2020-12-27,2020,53,"Free State",575.591392449779,"case"
2021-01-03,2021,1,"Free State",964.860180123395,"case"
2021-01-10,2021,2,"Free State",1353.08999416443,"case"
2021-01-17,2021,3,"Free State",1137.32980313181,"case"
2021-01-24,2021,4,"Free State",926.071831173711,"case"
2021-01-31,2021,5,"Free State",503.902211801701,"case"
2021-02-07,2021,6,"Free State",385.112893143293,"case"
2021-02-14,2021,7,"Free State",259.05075905682,"case"
2021-02-21,2021,8,"Free State",236.539663684235,"case"
2021-02-28,2021,9,"Free State",199.482937455519,"case"
2021-03-07,2021,10,"Free State",261.475030866175,"case"
2021-03-14,2021,11,"Free State",264.591951763917,"case"
2021-03-21,2021,12,"Free State",274.981688089726,"case"
2021-03-28,2021,13,"Free State",254.202215438109,"case"
2021-04-04,2021,14,"Free State",277.752284443275,"case"
2021-04-11,2021,15,"Free State",452.299854716854,"case"
2021-04-18,2021,16,"Free State",555.158244342356,"case"
2021-04-25,2021,17,"Free State",644.163652200113,"case"
2021-05-02,2021,18,"Free State",819.750196106273,"case"
2021-05-09,2021,19,"Free State",940.963786574036,"case"
2021-05-16,2021,20,"Free State",1032.39346624115,"case"
2021-05-23,2021,21,"Free State",1184.77626568634,"case"
2021-05-30,2021,22,"Free State",1058.02148251148,"case"
2021-06-06,2021,23,"Free State",1069.79651701406,"case"
2021-06-13,2021,24,"Free State",1078.4546306189,"case"
2021-06-20,2021,25,"Free State",1041.74422893438,"case"
2021-06-27,2021,26,"Free State",1170.23063483021,"case"
2021-07-04,2021,27,"Free State",1177.50345025827,"case"
2021-07-11,2021,28,"Free State",1064.25532430696,"case"
2021-07-18,2021,29,"Free State",1095.07820874019,"case"
2021-07-25,2021,30,"Free State",1122.43784773149,"case"
2021-08-01,2021,31,"Free State",1165.72841575569,"case"
2021-08-08,2021,32,"Free State",1343.04658238282,"case"
2021-08-15,2021,33,"Free State",1788.4199462158,"case"
