"location","date","n.v1","n.v2"
"Eastern Cape",2021-02-25,0,0
"Eastern Cape",2021-02-26,0,0
"Eastern Cape",2021-02-27,0,0
"Eastern Cape",2021-02-28,0,0
"Eastern Cape",2021-03-01,0,0
"Eastern Cape",2021-03-02,0,0
"Eastern Cape",2021-03-03,0,0
"Eastern Cape",2021-03-04,13.85521095974,0
"Eastern Cape",2021-03-05,34.7125177808541,0
"Eastern Cape",2021-03-06,17.8032011794509,0
"Eastern Cape",2021-03-07,17.8032011794509,0
"Eastern Cape",2021-03-08,47.5248633995384,0
"Eastern Cape",2021-03-09,121.121360325469,0
"Eastern Cape",2021-03-10,137.062301967321,0
"Eastern Cape",2021-03-11,138.403128834392,0
"Eastern Cape",2021-03-12,117.694802776286,0
"Eastern Cape",2021-03-13,26.2206142894005,0
"Eastern Cape",2021-03-14,29.0512487865517,0
"Eastern Cape",2021-03-15,15.3450185898196,0
"Eastern Cape",2021-03-16,37.2451907519893,96.9119863366763
"Eastern Cape",2021-03-17,97.1354574811882,77.3210160011299
"Eastern Cape",2021-03-18,123.951994822621,56.0912572724959
"Eastern Cape",2021-03-19,104.584495631586,39.7033733416206
"Eastern Cape",2021-03-20,20.3607042777538,18.1011627054667
"Eastern Cape",2021-03-21,20.3607042777544,18.1011627054668
"Eastern Cape",2021-03-22,20.3607042777544,18.101162705467
"Eastern Cape",2021-03-23,96.9119863366763,70.4679009027638
"Eastern Cape",2021-03-24,77.3210160011299,76.2781506600742
"Eastern Cape",2021-03-25,56.0912572724959,109.426370429345
"Eastern Cape",2021-03-26,39.7033733416206,103.16917838301
"Eastern Cape",2021-03-27,18.1011627054667,0.0744903815039787
"Eastern Cape",2021-03-28,18.1011627054668,0.0744903815039787
"Eastern Cape",2021-03-29,18.101162705467,0.0744903815039787
"Eastern Cape",2021-03-30,70.4679009027638,109.947803099873
"Eastern Cape",2021-03-31,76.2781506600742,96.2415729031405
"Eastern Cape",2021-04-01,109.426370429345,118.812158498846
"Eastern Cape",2021-04-02,103.16917838301,116.428466290719
"Eastern Cape",2021-04-03,0.0744903815039787,39.0081297809164
"Eastern Cape",2021-04-04,0.0744903815039787,39.0081297809169
"Eastern Cape",2021-04-05,0.0744903815039787,39.0081297809172
"Eastern Cape",2021-04-06,109.947803099873,117.098879724254
"Eastern Cape",2021-04-07,96.2415729031405,134.529628996185
"Eastern Cape",2021-04-08,118.812158498846,79.4067466832413
"Eastern Cape",2021-04-09,116.428466290719,15.5535916580304
"Eastern Cape",2021-04-10,39.0081297809164,15.5535916580307
"Eastern Cape",2021-04-11,39.0081297809169,15.5535916580307
"Eastern Cape",2021-04-12,39.0081297809172,15.553591658031
"Eastern Cape",2021-04-13,117.098879724254,15.553591658031
"Eastern Cape",2021-04-14,134.529628996185,85.7384291110795
"Eastern Cape",2021-04-15,79.4067466832413,87.377217504167
"Eastern Cape",2021-04-16,15.5535916580304,94.6772748915569
