"loc","variant","date.start","date.end","excess.death.per100k"
"Eastern Cape","wt",2020-05-03,2020-08-09,104.067752699172
"Eastern Cape","beta",2020-08-16,2021-04-25,306.146245933253
"Eastern Cape","delta",2021-05-02,2021-10-10,111.683524024048
"Eastern Cape","omicron",2021-10-17,2022-03-06,104.773869402138
"Free State","wt",2020-05-03,2020-10-25,127.120843647546
"Free State","beta",2020-11-01,2021-05-30,198.463774370945
"Free State","delta",2021-06-06,2021-09-26,160.469769433017
"Free State","omicron",2021-10-03,2022-03-06,75.9083537641087
"Gauteng","wt",2020-05-03,2020-10-25,92.2023371092129
"Gauteng","beta",2020-11-01,2021-05-09,100.353895907786
"Gauteng","delta",2021-05-16,2021-08-29,189.005517559245
"Gauteng","omicron",2021-09-05,2022-03-06,28.2595701117247
"KwaZulu-Natal","wt",2020-05-03,2020-09-13,85.9648808226923
"KwaZulu-Natal","beta",2020-09-20,2021-05-09,305.969711570411
"KwaZulu-Natal","delta",2021-05-16,2021-09-26,144.588886524511
"KwaZulu-Natal","omicron",2021-10-03,2022-03-06,75.581462746129
"Limpopo","wt",2020-05-03,2020-10-25,31.8047181137351
"Limpopo","beta",2020-11-01,2021-05-09,205.706749485028
"Limpopo","delta",2021-05-16,2021-09-26,158.822615299491
"Limpopo","omicron",2021-10-03,2022-03-06,78.5703398291986
"Mpumalanga","wt",2020-05-03,2020-10-25,52.8560157083982
"Mpumalanga","beta",2020-11-01,2021-05-09,204.345730116596
"Mpumalanga","delta",2021-05-16,2021-09-26,193.499729579584
"Mpumalanga","omicron",2021-10-03,2022-03-06,59.9158540956631
"North West","wt",2020-05-03,2020-10-25,48.2291254489119
"North West","beta",2020-11-01,2021-05-09,124.700348871614
"North West","delta",2021-05-16,2021-09-26,205.343840952055
"North West","omicron",2021-10-03,2022-03-06,38.678827606108
"Northern Cape","wt",2020-05-03,2020-10-25,75.0001928243045
"Northern Cape","beta",2020-11-01,2021-05-09,183.313329779613
"Northern Cape","delta",2021-05-16,2021-09-26,266.682404741615
"Northern Cape","omicron",2021-10-03,2022-03-06,127.715353628567
"Western Cape","wt",2020-05-03,2020-09-13,69.979172280575
"Western Cape","beta",2020-09-20,2021-05-09,135.107115757958
"Western Cape","delta",2021-05-16,2021-09-26,135.544941483193
"Western Cape","omicron",2021-10-03,2022-03-06,40.2437979241175
