Lineage,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,All Time
B.1.617.2,3,0,0,0,0,0,"3,237"
BA.2,199,96,39,13,63,0,"2,196"
BA.1.10,2,1,4,1,1,0,"1,798"
BA.1,2,3,3,0,0,0,"1,137"
B.1.1.529,1,3,3,3,4,0,226
BA.4.1,51,4,1,1,1,0,184
BA.5.2.1,28,11,4,4,7,0,182
BE.1,33,18,1,0,5,0,180
BA.4,44,4,3,4,2,0,163
AY.91,0,0,0,0,0,0,160
BA.5.3.1,3,2,1,49,95,0,156
BA.5.2,13,35,19,12,11,0,148
AY.6,0,0,0,0,0,0,144
AY.120,0,0,0,0,0,0,128
BA.5,15,6,11,23,55,0,128
BA.5.3.5,0,3,3,20,82,0,108
AY.116,0,0,0,0,0,0,99
Q.1,0,0,0,0,0,0,77
AY.122,0,0,0,0,0,0,69
B.1.351,0,0,0,0,0,0,53
AY.16,0,0,0,0,0,0,46
AY.107,0,0,0,0,0,0,33
AY.46,0,0,0,0,0,0,29
BA.1.17,0,0,0,0,0,0,29
BA.4.6,8,2,4,2,5,0,25
BA.4.7,13,4,1,4,1,0,25
AY.46.5,0,0,0,0,0,0,24
BA.2.15,0,0,0,0,0,0,21
BA.4.4,4,0,1,0,0,0,20
BA.5.3,1,0,1,9,6,0,20
BE.1.1,0,6,4,3,3,0,19
BA.5.1,2,2,7,3,2,0,17
BF.28,4,1,0,0,0,0,15
BA.1.18,0,0,0,0,0,0,13
BA.2.10,1,0,0,0,0,0,13
BA.4.1.8,2,0,0,5,5,0,12
BA.2.65,0,0,0,0,0,0,11
BA.4.1.1,1,0,0,0,0,0,9
BE.1.1.2,0,3,6,0,0,0,9
BA.5.2.20,0,0,5,0,3,0,8
BA.5.2.6,0,0,1,2,5,0,8
BQ.1.1,0,0,0,0,8,0,8
AY.40,0,0,0,0,0,0,7
BA.4.5,0,0,0,0,0,0,7
BQ.1.24,0,0,0,1,6,0,7
B.1.525,0,0,0,0,0,0,6
AY.103,0,0,0,0,0,0,5
BA.1.17.2,0,0,0,0,0,0,5
BA.2.9,0,0,0,0,0,0,5
BA.4.1.9,1,1,1,0,0,0,5
B.1.1.7,0,0,0,0,0,0,4
B.1.617.1,0,0,0,0,0,0,4
BA.1.1,0,0,0,0,0,0,4
BA.2.12.1,2,0,0,0,0,0,4
BA.3.1,0,0,0,0,0,0,4
BF.30,1,1,1,0,0,0,4
BF.9,1,0,0,0,0,0,4
AY.122.2,0,0,0,0,0,0,3
BA.1.19,0,0,0,0,0,0,3
BA.2.3,0,0,0,0,0,0,3
BA.2.37,0,0,0,0,0,0,3
BA.5.2.22,2,0,0,0,0,0,3
BA.5.6,0,2,1,0,0,0,3
BE.1.1.1,0,0,1,1,1,0,3
BF.5,0,1,0,1,0,0,3
AY.25,0,0,0,0,0,0,2
BA.2.75,0,0,0,1,1,0,2
BA.5.2.37,0,0,0,2,0,0,2
BF.2,0,0,0,0,0,0,2
BF.23,0,0,0,0,0,0,2
BF.4,0,2,0,0,0,0,2
BQ.1,0,0,0,0,2,0,2
BQ.1.5,0,0,0,0,2,0,2
AY.110,0,0,0,0,0,0,1
AY.127,0,0,0,0,0,0,1
AY.4.2.1,0,0,0,0,0,0,1
AY.47,0,0,0,0,0,0,1
AY.9,0,0,0,0,0,0,1
BA.1.15,0,0,0,0,0,0,1
BA.2.18,0,0,0,0,0,0,1
BA.2.26,0,0,0,0,0,0,1
BA.2.36,0,0,0,0,0,0,1
BA.2.75.1,0,0,0,1,0,0,1
BA.2.75.3,0,0,0,0,1,0,1
BA.2.75.5,0,0,0,0,1,0,1
BA.4.2,0,0,0,0,0,0,1
BA.5.1.18,0,0,0,0,1,0,1
BA.5.1.2,0,0,1,0,0,0,1
BA.5.1.22,0,0,0,1,0,0,1
BA.5.1.23,0,0,0,1,0,0,1
BA.5.1.3,0,0,0,0,1,0,1
BA.5.2.18,0,0,0,0,1,0,1
BA.5.3.3,0,0,0,0,0,0,1
BA.5.8,1,0,0,0,0,0,1
BF.14,0,0,0,1,0,0,1
BF.27,0,1,0,0,0,0,1
BJ.1,0,0,0,0,1,0,1
BM.4,0,0,0,0,1,0,1
BQ.1.13,0,0,0,0,1,0,1
BQ.1.6,0,0,0,0,1,0,1
CK.2.1.1,0,0,0,0,1,0,1
